Year,Crop,District,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2019,Banana,MALAPPURAM,38056.19,5313.11,2851.553333,0.170666667,35.55333333,19.99333333,7.162695672,27.77333333,8,19.77333333
2020,Banana,MALAPPURAM,47328.907,5338.9,2804.94,0.142,35.44,20.50666667,8.864917305,27.97333333,8,19.97333333
2021,Banana,MALAPPURAM,36636.334,6217.82,2931.28,0.183333333,34,16.91333333,5.892150947,25.45666667,8,17.45666667
2022,Banana,MALAPPURAM,37395.959,4185.69,2714.18,0.09,35.03333333,19.02666667,8.934239994,27.03,8,19.03
2023,Banana,MALAPPURAM,42109.938,4581.33,3442.74,0.362666667,37.44666667,19.76666667,9.191640419,28.60666667,8,20.60666667
2024,Banana,MALAPPURAM,42005.835,4236.51,2237.106667,0.012,38.5,20.74666667,9.915197887,29.62333333,8,21.62333333
2016,Banana,PALAKKAD,118524.072,15537.5075,1682.5,0.506923077,37.43076923,19.74615385,9.673426347,28.58846154,8,20.58846154
2017,Banana,PALAKKAD,118524.072,15066.44,1303.684615,-0.233846154,38,19,9.177363797,28.5,8,20.5
2018,Banana,PALAKKAD,118524.072,15537.5075,1805.869231,0.330769231,39,19.36153846,11.17160595,29.18076923,8,21.18076923
2019,Banana,PALAKKAD,100376.955,11645.68,2610.730769,0.586153846,37.45384615,20.1,8.619243788,28.77692308,8,20.77692308
2020,Banana,PALAKKAD,111942.029,12511.97,2503.692308,0.476923077,37.90769231,20.59230769,8.946794869,29.25,8,21.25
2021,Banana,PALAKKAD,118524.072,13364.86,2408.184615,0.4,37.43076923,18.46153846,11.3010238,27.94615385,8,19.94615385
2022,Banana,PALAKKAD,97812.884,9817.43,2348.576923,0.349230769,35.9,18.53076923,9.963186292,27.21538462,8,19.21538462
2023,Banana,PALAKKAD,97612.385,9044.76,1964.061538,0.139230769,40.10769231,20.56153846,10.79214761,30.33461538,8,22.33461538
2024,Banana,PALAKKAD,109199.647,9361.26,1857.969231,-0.101538462,40.15384615,19.84615385,11.66505866,30,8,22
2016,Banana,PATHANAMTHITTA,16012.42,2006.78,4383.4875,0.565,34.8875,22.1125,7.979160645,28.5,8,20.5
2017,Banana,PATHANAMTHITTA,15495.869,1948.34,5348.6,0.7575,36.25,20.75,7.953370048,28.5,8,20.5
2018,Banana,PATHANAMTHITTA,15745.06,2102.36,2780.3,0.34125,35.8375,19.3,7.48923115,27.56875,8,19.56875
2019,Banana,PATHANAMTHITTA,14694.651,2059.5,3503.8125,0.46,36,19.375,7.135057538,27.6875,8,19.6875
2020,Banana,PATHANAMTHITTA,17097.258,2094.27,3096.5375,0.2975,35.375,21.625,8.163827014,28.5,8,20.5
2021,Banana,PATHANAMTHITTA,16517.174,1847.66,3631.1375,0.48625,35,22.5125,8.939509434,28.75625,8,20.75625
2022,Banana,PATHANAMTHITTA,13999.508,1827.74,3784.85,0.5775,35.4625,20.7375,7.6594636,28.1,8,20.1
2023,Banana,PATHANAMTHITTA,15288.255,1923.47,2255.4375,-0.095,35.9,19.5875,7.948267974,27.74375,8,19.74375
2024,Banana,PATHANAMTHITTA,14033.203,1831.32,2912.0875,-0.54875,35.5875,22.2125,7.66288961,28.9,8,20.9
2016,Banana,THRISSUR,18834.98,2058,2516.7625,-0.059375,36.25,22.84375,9.152079689,29.546875,8,21.546875
2017,Banana,THRISSUR,17752.175,2100.79,1684.08125,-0.370625,39.3625,19.2875,8.450237768,29.325,8,21.325
2018,Banana,THRISSUR,18167.71,2005.25,1917.3875,-0.049375,36.54375,20.69375,9.06007231,28.61875,8,20.61875
2019,Banana,THRISSUR,7636.257,1588.95,2845.03125,0.105,34.69375,20.96875,4.805851034,27.83125,8,19.83125
2020,Banana,THRISSUR,16490.984,2037.38,3046.94375,0.173125,34.6625,21.95625,8.094211193,28.309375,8,20.309375
2021,Banana,THRISSUR,21453.779,2182.42,3143.11875,0.194375,37.7,19.2875,9.830270525,28.49375,8,20.49375
2022,Banana,THRISSUR,21017.007,2105.11,3315.9125,0.25125,33.075,21.58125,9.983804647,27.328125,8,19.328125
2023,Banana,THRISSUR,19802.208,1791.06,2076.30625,-0.2225,36.8625,18.94375,11.05613882,27.903125,8,19.903125
2024,Banana,THRISSUR,20909.978,1838.44,2456.45625,0.113125,36.95,22.94375,11.37376145,29.946875,8,21.946875
2016,Banana,TRIVANDRUM,17106.06,2518.14,2453.145455,0.537272727,35.90909091,23.75454545,6.793133027,29.83181818,8,21.83181818
2017,Banana,TRIVANDRUM,18373.53,2555.11,1464.681818,-0.102727273,34.27272727,22.27272727,7.190895891,28.27272727,8,20.27272727
2018,Banana,TRIVANDRUM,19896.529,2708.14,2217.3,0.589090909,36.03636364,20.45454545,7.346935166,28.24545455,8,20.24545455
2019,Banana,TRIVANDRUM,24793.988,2740.69,2444.109091,0.57,34.33636364,20.89090909,9.046622566,27.61363636,8,19.61363636
2020,Banana,TRIVANDRUM,29174.43,3177.6,2817.563636,0.801818182,35.81818182,22.45454545,9.181278323,29.13636364,8,21.13636364
2021,Banana,TRIVANDRUM,24421.702,2739.95,2914.254545,0.844545455,34,21.4,8.913192577,27.7,8,19.7
2022,Banana,TRIVANDRUM,15777.693,2506.99,3001.181818,0.906363636,35.27272727,24.24545455,6.293480628,29.75909091,8,21.75909091
2023,Banana,TRIVANDRUM,21568.249,2542.46,1565.372727,-0.019090909,34.80909091,18.14545455,8.483220582,26.47727273,8,18.47727273
2024,Banana,TRIVANDRUM,19169.707,2402.54,2557.081818,19.80545455,36.60909091,23.85454545,7.978933545,30.23181818,8,22.23181818
2016,Banana,WAYANAD,90232.88,9514.06,2159.475,-0.205,28.025,16.825,9.484161336,22.425,8,14.425
2017,Banana,WAYANAD,6653.882,7650.07,2041.125,0.28,34.8,20,0.869780538,27.4,8,19.4
2018,Banana,WAYANAD,73275.4,8702.03,2008.3,0.5975,33.5,16.75,8.420494988,25.125,8,17.125
2019,Banana,WAYANAD,65892.583,7961.35,3510.8,1.2375,33.25,15.575,8.276559001,24.4125,8,16.4125
2020,Banana,WAYANAD,95725.035,9408.01,2703.975,0.7,35.25,17.25,10.1748441,26.25,8,18.25
2021,Banana,WAYANAD,85068.679,8688.91,2942.675,0.8175,32,10.7,9.790489141,21.35,8,13.35
2022,Banana,WAYANAD,88845.662,9452.83,2674.775,0.6175,25.275,14.375,9.398842675,19.825,8,11.825
2023,Banana,WAYANAD,78622.043,8088.97,2739.95,0.6375,30.565,14.275,9.7196606,22.42,8,14.42
2024,Banana,WAYANAD,87145.124,8797.68,2611,0.0375,28.725,16.925,9.905466441,22.825,8,14.825
2016,Paddy,ALAPPUZHA,85775.243,30517.62,2485.066667,-0.115833333,35.31666667,23.675,2.810679306,29.49583333,14,15.49583333
2017,Paddy,ALAPPUZHA,99519.506,31236.88,2041,-0.271666667,36.5,20.3,3.185961786,28.4,14,14.4
