Year,Crop,District,Block_name,grand_total_production,grand_total_area,Rain_fall_actual(mm),Rain_fall_deviation(%),Temp_max(C),Temp_min(C),Yield,Temp_mean(C),Tbase,GDD_Year
2016,Paddy,PALAKKAD,Kuzhalmannam,40926.86435999994,13346.30489999998,1545.8,1.03,37.3,19.8,3.1762188460723495,28.549999999999997,14,14.549999999999997
2016,Paddy,PALAKKAD,Malampuzha,12517.13,4875.57,1337.3,-0.29,37.4,19.7,2.56731623174316,28.549999999999997,14,14.549999999999997
2016,Paddy,PALAKKAD,Mannarkkad,669.776,283.01,1698.5,-0.06,37.7,19.8,2.366616020635313,28.75,14,14.75
2016,Paddy,PALAKKAD,Nemmara,31307.177,10668.03,1578.0,0.79,37.0,19.8,2.934672755888388,28.4,14,14.399999999999999
2016,Paddy,PALAKKAD,Ottapalam,8096.751,3283.93,1990.4,0.03,37.5,19.7,2.4655674755552037,28.6,14,14.600000000000001
2016,Paddy,PALAKKAD,Palakkad,14174.267,5084.15,1676.3,0.02,37.5,19.7,2.787932496090792,28.6,14,14.600000000000001
2016,Paddy,PALAKKAD,Pattambi,5792.87,2194.76,2077.0,0.01,37.6,19.8,2.6394093203812714,28.700000000000003,14,14.700000000000003
2016,Paddy,PALAKKAD,Sreekrishnapuram,3190.099,1397.5,1863.5,0.6,37.6,19.7,2.282718425760286,28.65,14,14.649999999999999
2016,Paddy,PALAKKAD,Thrithala,7333.489,2492.51,2296.8,1.03,37.6,19.8,2.9422104625457868,28.700000000000003,14,14.700000000000003
2016,Paddy,MALAPPURAM,Arecode,804.778,361.76,2103.8,-0.18,38.0,19.8,2.2246185316231757,28.9,14,14.899999999999999
2016,Paddy,MALAPPURAM,Kalikavu,665.595,298.39,1698.3,0.03,37.9,19.6,2.2306209993632495,28.75,14,14.75
2016,Paddy,MALAPPURAM,Kondotty,749.263,368.52,2341.0,0.85,38.0,22.0,2.0331678063605776,30.0,14,16.0
2016,Paddy,MALAPPURAM,Kuttippuram,2221.894,898.45,2085.7,-0.06,37.7,19.8,2.4730302187100004,28.75,14,14.75
2016,Paddy,MALAPPURAM,Malappuram,887.813,411.4,1910.6,-0.31,37.8,19.8,2.1580286825473993,28.799999999999997,14,14.799999999999997
2016,Paddy,MALAPPURAM,Mankada,1014.584,338.55,1883.3,-0.08,37.7,21.8,2.996851277507015,29.75,14,15.75
2016,Paddy,MALAPPURAM,Nilamboor,834.428,332.2,1906.1,-0.42,38.0,20.5,2.5118242022877784,29.25,14,15.25
2016,Paddy,MALAPPURAM,Perintalmanna,1894.561,700.26,1851.1,-0.24,37.7,20.7,2.705510810270471,29.200000000000003,14,15.200000000000003
2016,Paddy,MALAPPURAM,Perumpadappa,4470.0,1242.71,2524.6,-0.08,37.6,20.8,3.5969775732069427,29.200000000000003,14,15.200000000000003
2016,Paddy,MALAPPURAM,Ponnani,2295.127,759.75,2367.5,-0.04,37.6,20.8,3.020897663705166,29.200000000000003,14,15.200000000000003
2016,Paddy,MALAPPURAM,Tanur,482.405,313.31,2109.9,0.01,37.8,20.9,1.5397050844211801,29.349999999999998,14,15.349999999999998
2016,Paddy,MALAPPURAM,Tirur,1283.405,528.39,2269.3,-0.08,37.7,20.8,2.4288972160714626,29.25,14,15.25
2016,Paddy,MALAPPURAM,Tirurangadi,3374.232,965.01,2161.7,-0.06,37.9,20.9,3.49657723754158,29.4,14,15.399999999999999
2016,Paddy,MALAPPURAM,Vengara,1346.128,582.1,2062.8,0.07,37.8,20.8,2.3125373647139664,29.299999999999997,14,15.299999999999997
2016,Paddy,MALAPPURAM,Wandoor,624.14,275.06,1685.5,-0.33,37.8,20.7,2.26910492256235,29.25,14,15.25
